08/12/2016,New Orleans Pelicans,Philadelphia 76ers
08/12/2016,Utah Jazz,Golden State Warriors
08/12/2016,Chicago Bulls,San Antonio Spurs
09/12/2016,Charlotte Hornets,Orlando Magic
09/12/2016,Boston Celtics,Toronto Raptors
09/12/2016,Cleveland Cavaliers,Miami Heat
09/12/2016,Milwaukee Bucks,Atlanta Hawks
09/12/2016,Minnesota Timberwolves,Detroit Pistons
09/12/2016,Oklahoma City Thunder,Houston Rockets
09/12/2016,Dallas Mavericks,Indiana Pacers
09/12/2016,Los Angeles Lakers,Phoenix Suns
09/12/2016,Sacramento Kings,New York Knicks
10/12/2016,Indiana Pacers,Portland Trail Blazers
10/12/2016,Orlando Magic,Denver Nuggets
10/12/2016,Washington Wizards,Milwaukee Bucks
10/12/2016,Cleveland Cavaliers,Charlotte Hornets
10/12/2016,Chicago Bulls,Miami Heat
10/12/2016,Houston Rockets,Dallas Mavericks
10/12/2016,Memphis Grizzlies,Golden State Warriors
10/12/2016,San Antonio Spurs,Brooklyn Nets
10/12/2016,Utah Jazz,Sacramento Kings
10/12/2016,Los Angeles Clippers,New Orleans Pelicans
11/12/2016,Detroit Pistons,Philadelphia 76ers
11/12/2016,Minnesota Timberwolves,Golden State Warriors
11/12/2016,Oklahoma City Thunder,Boston Celtics
11/12/2016,Phoenix Suns,New Orleans Pelicans
11/12/2016,Los Angeles Lakers,New York Knicks
12/12/2016,Indiana Pacers,Charlotte Hornets
12/12/2016,Miami Heat,Washington Wizards
12/12/2016,Toronto Raptors,Milwaukee Bucks
12/12/2016,Houston Rockets,Brooklyn Nets
12/12/2016,Dallas Mavericks,Denver Nuggets
12/12/2016,Los Angeles Clippers,Portland Trail Blazers
12/12/2016,Sacramento Kings,Los Angeles Lakers
13/12/2016,Cleveland Cavaliers,Memphis Grizzlies
13/12/2016,Atlanta Hawks,Orlando Magic
13/12/2016,Chicago Bulls,Minnesota Timberwolves
13/12/2016,New Orleans Pelicans,Golden State Warriors
13/12/2016,Phoenix Suns,New York Knicks
13/12/2016,Portland Trail Blazers,Oklahoma City Thunder
14/12/2016,Miami Heat,Indiana Pacers
14/12/2016,Orlando Magic,Los Angeles Clippers
14/12/2016,Philadelphia 76ers,Toronto Raptors
14/12/2016,Washington Wizards,Charlotte Hornets
14/12/2016,Brooklyn Nets,Los Angeles Lakers
14/12/2016,Houston Rockets,Sacramento Kings
14/12/2016,Memphis Grizzlies,Cleveland Cavaliers
14/12/2016,Dallas Mavericks,Detroit Pistons
14/12/2016,Utah Jazz,Oklahoma City Thunder
14/12/2016,San Antonio Spurs,Boston Celtics
15/12/2016,Milwaukee Bucks,Chicago Bulls
15/12/2016,New Orleans Pelicans,Indiana Pacers
15/12/2016,Denver Nuggets,Portland Trail Blazers
15/12/2016,Phoenix Suns,San Antonio Spurs
15/12/2016,Golden State Warriors,New York Knicks
16/12/2016,Orlando Magic,Brooklyn Nets
16/12/2016,Washington Wizards,Detroit Pistons
16/12/2016,Boston Celtics,Charlotte Hornets
16/12/2016,Toronto Raptors,Atlanta Hawks
16/12/2016,Chicago Bulls,Milwaukee Bucks
16/12/2016,Houston Rockets,New Orleans Pelicans
16/12/2016,Memphis Grizzlies,Sacramento Kings
16/12/2016,Miami Heat,Los Angeles Clippers
16/12/2016,Philadelphia 76ers,Los Angeles Lakers
16/12/2016,Utah Jazz,Dallas Mavericks
17/12/2016,Oklahoma City Thunder,Phoenix Suns
17/12/2016,Detroit Pistons,Indiana Pacers
17/12/2016,Atlanta Hawks,Charlotte Hornets
17/12/2016,Cleveland Cavaliers,Los Angeles Lakers
17/12/2016,Minnesota Timberwolves,Houston Rockets
17/12/2016,Denver Nuggets,New York Knicks
17/12/2016,Golden State Warriors,Portland Trail Blazers
18/12/2016,Washington Wizards,Los Angeles Clippers
18/12/2016,Memphis Grizzlies,Utah Jazz
18/12/2016,Miami Heat,Boston Celtics
18/12/2016,Orlando Magic,Toronto Raptors
18/12/2016,Philadelphia 76ers,Brooklyn Nets
18/12/2016,Dallas Mavericks,Sacramento Kings
18/12/2016,San Antonio Spurs,New Orleans Pelicans
19/12/2016,Indiana Pacers,Washington Wizards
19/12/2016,Chicago Bulls,Detroit Pistons
19/12/2016,Minnesota Timberwolves,Phoenix Suns
19/12/2016,Oklahoma City Thunder,Atlanta Hawks
19/12/2016,Denver Nuggets,Dallas Mavericks
20/12/2016,Charlotte Hornets,Los Angeles Lakers
20/12/2016,Philadelphia 76ers,New Orleans Pelicans
20/12/2016,Miami Heat,Orlando Magic
20/12/2016,New York Knicks,Indiana Pacers
20/12/2016,Toronto Raptors,Brooklyn Nets
20/12/2016,Houston Rockets,San Antonio Spurs
20/12/2016,Memphis Grizzlies,Boston Celtics
20/12/2016,Milwaukee Bucks,Cleveland Cavaliers
20/12/2016,Golden State Warriors,Utah Jazz
20/12/2016,Los Angeles Clippers,Denver Nuggets
20/12/2016,Sacramento Kings,Portland Trail Blazers
21/12/2016,Cleveland Cavaliers,Milwaukee Bucks
21/12/2016,Atlanta Hawks,Minnesota Timberwolves
21/12/2016,Detroit Pistons,Memphis Grizzlies
21/12/2016,Chicago Bulls,Washington Wizards
21/12/2016,New Orleans Pelicans,Oklahoma City Thunder
21/12/2016,Phoenix Suns,Houston Rockets
21/12/2016,Utah Jazz,Sacramento Kings
21/12/2016,Portland Trail Blazers,Dallas Mavericks
22/12/2016,Brooklyn Nets,Golden State Warriors
22/12/2016,Miami Heat,Los Angeles Lakers
22/12/2016,New York Knicks,Orlando Magic
22/12/2016,Indiana Pacers,Boston Celtics
22/12/2016,Los Angeles Clippers,San Antonio Spurs
23/12/2016,Charlotte Hornets,Chicago Bulls
23/12/2016,Orlando Magic,Los Angeles Lakers
23/12/2016,Boston Celtics,Oklahoma City Thunder
23/12/2016,Cleveland Cavaliers,Brooklyn Nets
23/12/2016,Detroit Pistons,Golden State Warriors
23/12/2016,Memphis Grizzlies,Houston Rockets
23/12/2016,Milwaukee Bucks,Washington Wizards
23/12/2016,Minnesota Timberwolves,Sacramento Kings
23/12/2016,New Orleans Pelicans,Miami Heat
23/12/2016,Denver Nuggets,Atlanta Hawks
23/12/2016,Phoenix Suns,Philadelphia 76ers
23/12/2016,Utah Jazz,Toronto Raptors
23/12/2016,Portland Trail Blazers,San Antonio Spurs
23/12/2016,Los Angeles Clippers,Dallas Mavericks
25/12/2016,New York Knicks,Boston Celtics
25/12/2016,Cleveland Cavaliers,Golden State Warriors
25/12/2016,San Antonio Spurs,Chicago Bulls
25/12/2016,Oklahoma City Thunder,Minnesota Timberwolves
25/12/2016,Los Angeles Lakers,Los Angeles Clippers
26/12/2016,Orlando Magic,Memphis Grizzlies
26/12/2016,Washington Wizards,Milwaukee Bucks
26/12/2016,Brooklyn Nets,Charlotte Hornets
26/12/2016,Detroit Pistons,Cleveland Cavaliers
26/12/2016,Chicago Bulls,Indiana Pacers
26/12/2016,Houston Rockets,Phoenix Suns
26/12/2016,Minnesota Timberwolves,Atlanta Hawks
26/12/2016,New Orleans Pelicans,Dallas Mavericks
26/12/2016,Portland Trail Blazers,Toronto Raptors
26/12/2016,Los Angeles Clippers,Denver Nuggets
26/12/2016,Sacramento Kings,Philadelphia 76ers
27/12/2016,Boston Celtics,Memphis Grizzlies
27/12/2016,Miami Heat,Oklahoma City Thunder
27/12/2016,Dallas Mavericks,Houston Rockets
27/12/2016,Los Angeles Lakers,Utah Jazz
28/12/2016,Orlando Magic,Charlotte Hornets
28/12/2016,Washington Wizards,Indiana Pacers
28/12/2016,Atlanta Hawks,New York Knicks
28/12/2016,Detroit Pistons,Milwaukee Bucks
28/12/2016,Chicago Bulls,Brooklyn Nets
28/12/2016,New Orleans Pelicans,Los Angeles Clippers
28/12/2016,San Antonio Spurs,Phoenix Suns
28/12/2016,Denver Nuggets,Minnesota Timberwolves
28/12/2016,Portland Trail Blazers,Sacramento Kings
28/12/2016,Golden State Warriors,Toronto Raptors
29/12/2016,Charlotte Hornets,Miami Heat
29/12/2016,Cleveland Cavaliers,Boston Celtics
29/12/2016,Memphis Grizzlies,Oklahoma City Thunder
29/12/2016,Phoenix Suns,Toronto Raptors
29/12/2016,Utah Jazz,Philadelphia 76ers
29/12/2016,Los Angeles Lakers,Dallas Mavericks
30/12/2016,Indiana Pacers,Chicago Bulls
30/12/2016,Washington Wizards,Brooklyn Nets
30/12/2016,Boston Celtics,Miami Heat
30/12/2016,Atlanta Hawks,Detroit Pistons
30/12/2016,Houston Rockets,Los Angeles Clippers
30/12/2016,Minnesota Timberwolves,Milwaukee Bucks
30/12/2016,New Orleans Pelicans,New York Knicks
30/12/2016,San Antonio Spurs,Portland Trail Blazers
30/12/2016,Denver Nuggets,Philadelphia 76ers
30/12/2016,Golden State Warriors,Dallas Mavericks
31/12/2016,Sacramento Kings,Memphis Grizzlies
31/12/2016,Charlotte Hornets,Cleveland Cavaliers
31/12/2016,Chicago Bulls,Milwaukee Bucks
31/12/2016,Houston Rockets,New York Knicks
31/12/2016,Oklahoma City Thunder,Los Angeles Clippers
31/12/2016,Utah Jazz,Phoenix Suns
01/01/2017,Atlanta Hawks,San Antonio Spurs
01/01/2017,Indiana Pacers,Orlando Magic
01/01/2017,Miami Heat,Detroit Pistons
01/01/2017,Minnesota Timberwolves,Portland Trail Blazers
01/01/2017,Los Angeles Lakers,Toronto Raptors
02/01/2017,Cleveland Cavaliers,New Orleans Pelicans
02/01/2017,Milwaukee Bucks,Oklahoma City Thunder
02/01/2017,Brooklyn Nets,Utah Jazz
02/01/2017,New York Knicks,Orlando Magic
02/01/2017,Chicago Bulls,Charlotte Hornets
02/01/2017,Houston Rockets,Washington Wizards
02/01/2017,Golden State Warriors,Denver Nuggets
02/01/2017,Los Angeles Clippers,Phoenix Suns
03/01/2017,Philadelphia 76ers,Minnesota Timberwolves
03/01/2017,Boston Celtics,Utah Jazz
03/01/2017,Detroit Pistons,Indiana Pacers
03/01/2017,Dallas Mavericks,Washington Wizards
03/01/2017,San Antonio Spurs,Toronto Raptors
03/01/2017,Denver Nuggets,Sacramento Kings
03/01/2017,Phoenix Suns,Miami Heat
03/01/2017,Los Angeles Lakers,Memphis Grizzlies
04/01/2017,Charlotte Hornets,Oklahoma City Thunder
04/01/2017,Orlando Magic,Atlanta Hawks
04/01/2017,New York Knicks,Milwaukee Bucks
04/01/2017,Cleveland Cavaliers,Chicago Bulls
